text,label
"



                        Kuwa wa kwanza kupata habari motomoto kutoka kwa Mhariri wetu Mkuu                    ",email-subscription__title
Thank you!,email-subscription__title
Check your email and confirm your subscription,email-subscription__text
You are already subscribed to our newsletter!,email-subscription__title
Check your inbox to be the first to know the hottest news,email-subscription__text
"
                            This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.
                        ",c-header-subscribe__recaptcha-text
Global site navigation,global-menu__group-title
Makala za ndani,global-menu__group-title
Hamisa Mobetto alieleza kuwa Rick Ross alivutiwa na mrembo wake walipokutana. Pia alifichua kwamba hajawahi kuchumbiana na mwanaume ambaye amekauka mifuko.....,c-article-card-horizontal__description
Msani kutoka Tanzania Rosa Ree ametumia mtandao wake wa Instagram Kuonyesha kuwa hayupo sawa na kuwa kuna mengi anayoyapitia ambayo ameshindwa kuyaweka wazi.,c-article-card-horizontal__description
Mwimbaji chipukizi Yviona amesema hana nia ya kuchangamana na wanaume waliofilisika na ameomba kuwa ni mabilionea pekee wanaopaswa kumtumia jumbe za kumtaka,c-article-card-horizontal__description
Afisa mkubwa wa polisi Tanzania ametoroka baada ya shilingi milioni 270 pesa za Kenya kupotea kutoka kwa Hazina ya Matanga ya Polisi chini ya uangalizi wake.,c-article-card-horizontal__description
Mkenya Daniel Wanyonyi sasa amepata fursa ya kujitoa aibu kwa kulipiza kisasi dhidi ya hasimu wake kutoka Tanzania Karim Mandonga maarufu kama Mandonga Mtu Kazi,c-article-card-horizontal__description
"Akizungumza Jumamosi baada ya kumlima Mganda Charles Kakande katika ukumbi wa Kasarani, Wanyonyi alisema yuko tayari kulipiza kisasi dhidi ya Karim Mandonga.",c-article-card-horizontal__description
Habari za Tanzania,c-action-link__headline
"



                        Kuwa wa kwanza kupata habari motomoto kutoka kwa Mhariri wetu Mkuu                    ",email-subscription__title
Thank you!,email-subscription__title
Check your email and confirm your subscription,email-subscription__text
You are already subscribed to our newsletter!,email-subscription__title
Check your inbox to be the first to know the hottest news,email-subscription__text
,email-subscription__title
,email-subscription__title
,email-subscription__text
,email-subscription__title
,email-subscription__text
